"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Giannis Antetokounmpo","Mil","F","30.1","24","35","36.8","14.1","272","0.614","483","0.627","18","0.222","0.617","0.632","32.7","11.6","6","0.7","1.5","3.4","44.3","38.7","50.3","15","121","104.7"
"","Shai Gilgeous-Alexander","Okc","G","26.5","31","34.5","33.4","11.3","245","0.882","456","0.599","192","0.344","0.574","0.635","31","5.6","6.1","1.9","1.2","2.7","36.6","37.1","42.7","11.8","125","102.1"
"","Nikola Jokic","Den","C","29.9","28","37.2","30.7","14","180","0.794","455","0.585","130","0.492","0.619","0.653","31","12.9","9.5","1.8","0.6","3.4","43.8","40.5","53.4","16.8","130.1","108.7"
"","LaMelo Ball","Cha","G","23.4","22","33.7","39.1","14.3","122","0.844","255","0.514","286","0.346","0.517","0.557","30.1","5.3","7.4","1.3","0.2","4.1","35.4","37.5","42.8","12.5","110.6","106.2"
"","Paolo Banchero","Orl","F","22.1","5","36.4","31.9","10.2","59","0.644","65","0.569","32","0.344","0.552","0.59","29","8.8","5.6","0.6","0.8","2.2","37.8","34.6","43.4","12.4","121","104"
"","Jayson Tatum","Bos","F-G","26.8","29","36.6","30.7","12","206","0.806","283","0.572","305","0.367","0.561","0.609","28.5","9.6","5.6","1.3","0.5","2.8","38.1","34.1","43.7","12.6","120.5","103.6"
"","Luka Doncic","Dal","F-G","25.8","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","116.5","104.4"
"","Kevin Durant","Pho","F","36.3","21","35.9","31.3","14.9","145","0.841","277","0.552","124","0.411","0.572","0.625","27.7","6.4","3.7","0.8","1.3","3.3","34","31.4","37.8","9.7","113.2","114.6"
"","De'Aaron Fox","Sac","G","27","33","37.2","30.4","14.2","196","0.801","462","0.556","209","0.325","0.535","0.578","26.5","5.1","6.3","1.6","0.3","3.4","31.6","32.8","37.8","10.2","112.9","109.7"
"","Anthony Davis","Lal","F-C","31.8","30","34.7","30","11.1","254","0.776","470","0.557","64","0.313","0.547","0.605","26","11.5","3.5","1.2","2","2.2","37.5","29.6","41.1","11.7","120.5","108.7"
"","Tyrese Maxey","Phi","G","24.2","24","37.2","30.6","9.6","138","0.833","278","0.489","228","0.342","0.5","0.548","25.9","3.6","5.3","2","0.4","2.3","29.5","31.2","34.8","8.5","111.9","109.8"
"","Damian Lillard","Mil","G","34.5","23","36.3","28.7","14","165","0.921","192","0.536","214","0.369","0.546","0.622","25.9","4.6","7.7","1.1","0.2","2.9","30.4","33.6","38.2","10.7","123.5","110.6"
"","Victor Wembanyama","San","F-C","21","27","33.1","31.8","15.4","117","0.88","261","0.594","256","0.359","0.567","0.606","25.5","10","3.8","1","4","3.5","35.6","29.3","39.4","12","110.3","106.7"
"","Jalen Brunson","Nyk","G","28.3","33","34.9","29","11.9","223","0.825","380","0.526","206","0.403","0.554","0.609","25.2","3","7.7","0.8","0.1","2.4","28.2","32.9","35.9","9.6","125.1","112"
"","Devin Booker","Pho","G","28.2","26","36.6","28.5","11.1","188","0.899","272","0.507","200","0.345","0.512","0.588","25.1","3.7","6.4","1.1","0.3","2.3","28.7","31.5","35.1","9.2","121.4","115.8"
"","Anthony Edwards","Min","G","23.4","31","36","30.2","13.2","118","0.805","320","0.472","304","0.411","0.542","0.571","24.9","5.6","4","1.3","0.6","3.1","30.5","28.9","34.5","9.1","107.7","107.4"
"","Jaylen Brown","Bos","G-F","28.2","27","35.7","30","12.2","158","0.734","337","0.534","194","0.335","0.523","0.559","24.9","5.9","4.7","1.4","0.3","2.7","30.7","29.5","35.4","9.9","111.9","107"
"","Cam Thomas","Bro","G","23.2","18","32.9","31.3","13.7","123","0.87","182","0.5","133","0.391","0.537","0.603","24.7","3.4","3.5","0.7","0.1","2.8","28.1","28.2","31.6","8.1","112.5","115.5"
"","Karl-Anthony Towns","Nyk","C-F","29.1","31","34.2","27.3","13.8","180","0.833","347","0.599","153","0.438","0.617","0.662","24.7","13.5","3.3","0.8","0.9","2.6","38.2","28","41.5","12.1","126.5","99.9"
"","Norman Powell","Lac","G","31.6","25","33.6","27.5","10.9","109","0.844","230","0.526","205","0.459","0.602","0.638","24.6","3.3","2.5","1.2","0.2","2.1","27.9","27.1","30.4","7","119","108.2"
"","Kyrie Irving","Dal","G","32.8","29","35.5","26.7","10.7","106","0.906","327","0.517","209","0.445","0.576","0.612","24.6","4.5","5","1.1","0.3","2.2","29.1","29.6","34.1","9.3","121.8","111.1"
"","Franz Wagner","Orl","F","23.3","25","33.2","31.1","11.4","135","0.881","314","0.538","159","0.321","0.519","0.573","24.4","5.6","5.7","1.7","0.5","2.4","30","30.1","35.7","11.1","115.7","102.8"
"","Cade Cunningham","Det","G","23.3","28","35.9","31.5","18.1","127","0.803","376","0.489","185","0.362","0.507","0.544","24","6.7","9.7","0.8","0.9","4.4","30.7","33.6","40.4","12.9","109.1","110.3"
"","Tyler Herro","Mia","G","24.9","30","35.2","27.2","12.7","122","0.844","236","0.559","288","0.41","0.59","0.624","24","5.7","5.2","0.7","0.1","2.5","29.8","29.2","35","10.1","118.6","110.2"
"","Joel Embiid","Phi","C-F","30.8","11","29.3","35.2","16.3","88","0.932","141","0.496","43","0.302","0.486","0.586","23.7","7","3.8","0.9","1","3.3","30.7","27.5","34.5","11.7","113","106.9"
"","Donovan Mitchell","Cle","G","28.3","31","31.5","30","10.2","116","0.81","278","0.504","288","0.413","0.563","0.592","23.6","4.6","4.6","1.5","0.3","2.1","28.2","28.2","32.8","10.1","116.6","107.1"
